ID	画面(模块/功能)名	数据类型	图标	排序依据	URL链接	上级画面ID	画面叶节点	功能节点	是否启用	是否可自定义	区域/门店	备注	是否可用于菜单	是否可配置权限	是否全局可见	许可证功能ID	备注（中文，不写入数据库）
P8001F01	新建		icon-func-add	800101		P8001	0	1	1	0	2		0	1	1		新建
P8001F03	修改		icon-func-edit	800103		P8001	0	1	1	0	2		0	1	1		修改
P8001F90	离职		icon-func-resign	800190		P8001	0	1	1	0	2		0	1	1		离职
P8001F06	导出		icon-func-export	800106		P8001	0	1	1	0	2		0	1	1		导出
P8002F30	检索		icon-func-search	800230		P8001	0	1	1	0	2		0	1	1		检索
P8002F31	清空检索		icon-func-clear-search	800231		P8001	0	1	1	0	2		0	1	1		清空检索
P8002F32	高级检索		icon-func-search-more	800232		P8001	0	1	1	0	2		0	1	1		高级检索
