ID	画面(模块/功能)名	数据类型	图标	排序依据	URL链接	上级画面ID	画面叶节点	功能节点	是否启用	是否可自定义	区域/门店	备注	是否可用于菜单	是否可配置权限	是否全局可见	许可证功能ID	备注（中文，不写入数据库）
P5001F30	检索		icon-func-search	500130		P5001	0	1	1	0	2		0	1	1		检索
P5001F31	清空检索		icon-func-clear-search	500131		P5001	0	1	1	0	2		0	1	1		清空检索
P5001F32	高级检索		icon-func-search-more	500232		P5002	0	1	1	0	2		0	1	1		高级检索
